,site,day,date,start_time,end_time,flow,cong,dsat,ObjectId
135178,N01121G,FR,27/01/2023,2023/07/04 10:45:00+00,12:00,0.9793233082706767,1.0,0.9883720930232558,135179
135186,N01121G,FR,27/01/2023,2023/07/04 11:45:00+00,13:00,0.9360902255639098,0.0,0.8372093023255814,135187
135196,N01121G,FR,27/01/2023,2023/07/03 23:15:00+00,00:30,0.6785714285714286,0.4,0.2441860465116279,135197
135431,N01121G,TU,31/01/2023,2023/07/04 02:45:00+00,04:00,0.6353383458646616,0.4,0.2441860465116279,135432
135529,N01121G,SA,28/01/2023,2023/07/04 21:15:00+00,22:30,0.8176691729323309,0.0,0.38372093023255816,135530
135599,N01121G,MO,30/01/2023,2023/07/04 15:30:00+00,16:45,0.9229323308270677,1.0,0.8023255813953488,135600
135841,N01121G,WE,01/02/2023,2023/07/04 10:15:00+00,11:30,0.9492481203007519,0.0,0.8604651162790697,135842
135853,N01121G,SA,04/02/2023,2023/07/04 00:45:00+00,02:00,0.5018796992481203,0.4,0.16279069767441862,135854
135854,N01121G,TH,02/02/2023,2023/07/04 21:45:00+00,23:00,0.6860902255639098,0.0,0.2441860465116279,135855
135931,N01121G,SA,04/02/2023,2023/07/04 04:15:00+00,05:30,0.6409774436090225,0.4,0.3488372093023256,135932
135944,N01121G,SA,04/02/2023,2023/07/04 05:15:00+00,06:30,0.7368421052631579,0.4,0.23255813953488372,135945
136046,N01121G,TU,07/02/2023,2023/07/04 22:15:00+00,23:30,0.6165413533834586,0.4,0.3372093023255814,136047
136162,N01121G,TU,07/02/2023,2023/07/04 03:15:00+00,04:30,0.4567669172932331,0.0,0.11627906976744186,136163
136474,N01121G,SU,12/02/2023,2023/07/04 21:45:00+00,23:00,0.6597744360902256,0.0,0.2441860465116279,136475
136564,N01121G,FR,10/02/2023,2023/07/04 01:15:00+00,02:30,0.6127819548872181,0.0,0.16279069767441862,136565
136581,N01121G,FR,10/02/2023,2023/07/04 03:30:00+00,04:45,0.9661654135338346,0.8,0.16279069767441862,136582
136613,N01121G,SA,11/02/2023,2023/07/04 01:15:00+00,02:30,0.7274436090225563,0.8,0.1511627906976744,136614
136633,N01121G,SU,12/02/2023,2023/07/04 07:30:00+00,08:45,0.5037593984962406,0.4,0.27906976744186046,136634
137025,N01121G,TU,14/02/2023,2023/07/04 03:30:00+00,04:45,0.5413533834586466,0.0,0.18604651162790697,137026
137027,N01121G,TU,14/02/2023,2023/07/04 04:00:00+00,05:15,0.7030075187969925,1.0,0.47674418604651164,137028
137039,N01121G,TU,14/02/2023,2023/07/04 22:00:00+00,23:15,0.7763157894736842,0.2,0.313953488372093,137040
137375,N01121G,SU,19/02/2023,2023/07/04 21:30:00+00,22:45,0.6221804511278195,0.0,0.27906976744186046,137376
137398,N01121G,FR,17/02/2023,2023/07/04 22:15:00+00,23:30,0.5338345864661654,0.0,0.20930232558139536,137399
137501,N01121G,TU,21/02/2023,2023/07/03 23:30:00+00,00:45,0.9323308270676691,1.0,0.22093023255813954,137502
137514,N01121G,SA,18/02/2023,2023/07/04 01:45:00+00,03:00,0.8101503759398496,1.0,0.12790697674418605,137515
137525,N01121G,SU,19/02/2023,2023/07/04 05:45:00+00,07:00,0.7518796992481203,0.2,0.27906976744186046,137526
137588,N01121G,WE,22/02/2023,2023/07/03 23:45:00+00,01:00,0.8139097744360902,0.0,0.3372093023255814,137589
137717,N01121G,FR,24/02/2023,2023/07/04 01:30:00+00,02:45,0.7612781954887218,0.8,0.5697674418604651,137718
138561,N01121G,SA,04/03/2023,2023/07/04 13:00:00+00,14:15,0.7593984962406015,0.2,0.5348837209302325,138562
138638,N01121G,MO,06/03/2023,2023/07/04 03:00:00+00,04:15,0.8646616541353384,0.2,0.5697674418604651,138639
138907,N01121G,WE,08/03/2023,2023/07/04 16:00:00+00,17:15,0.9266917293233082,0.0,0.9186046511627907,138908
138908,N01121G,WE,08/03/2023,2023/07/04 16:15:00+00,17:30,0.8778195488721805,0.0,0.5232558139534884,138909
139361,N01121G,FR,17/03/2023,2023/07/04 00:30:00+00,01:45,0.5883458646616542,0.0,0.7558139534883721,139362
139399,N01121G,SU,19/03/2023,2023/07/04 07:45:00+00,09:00,0.2387218045112782,0.0,0.05813953488372093,139400
139469,N01121G,SA,18/03/2023,2023/07/04 02:15:00+00,03:30,0.6804511278195489,0.8,0.813953488372093,139470
139585,N01121G,TH,16/03/2023,2023/07/04 03:30:00+00,04:45,0.6541353383458647,1.0,0.5348837209302325,139586
139947,N01121G,TU,21/03/2023,2023/07/04 21:45:00+00,23:00,0.9699248120300752,0.4,0.9302325581395349,139948
139991,N01121G,SU,19/03/2023,2023/07/04 20:30:00+00,21:45,0.8195488721804511,0.0,0.3953488372093023,139992
140080,N01121G,TU,28/03/2023,2023/07/04 14:30:00+00,15:45,0.8928571428571429,0.6,0.6046511627906976,140081
140082,N01121G,TU,28/03/2023,2023/07/04 15:00:00+00,16:15,0.8778195488721805,0.0,0.9418604651162791,140083
140086,N01121G,TU,28/03/2023,2023/07/04 16:00:00+00,17:15,0.8421052631578947,0.2,0.627906976744186,140087
140193,N01121G,TH,23/03/2023,2023/07/04 15:30:00+00,16:45,0.7462406015037594,0.0,0.6744186046511628,140194
140201,N01121G,TH,23/03/2023,2023/07/04 16:00:00+00,17:15,0.8439849624060151,0.0,0.6511627906976745,140202
140211,N01121G,TH,23/03/2023,2023/07/04 16:15:00+00,17:30,0.7781954887218046,0.0,0.46511627906976744,140212
140246,N01121G,SU,26/03/2023,2023/07/04 02:00:00+00,03:15,0.8045112781954887,0.4,0.7325581395348837,140247
140410,N01121G,FR,31/03/2023,2023/07/04 14:15:00+00,15:30,0.7161654135338346,0.4,0.5465116279069767,140411
140417,N01121G,FR,31/03/2023,2023/07/04 16:00:00+00,17:15,0.7142857142857143,0.2,0.8488372093023255,140418
140418,N01121G,FR,31/03/2023,2023/07/04 16:15:00+00,17:30,0.8571428571428571,0.0,0.8604651162790697,140419
140444,N01121G,FR,31/03/2023,2023/07/04 22:45:00+00,24:00,0.8853383458646616,0.0,0.23255813953488372,140445
140577,N01121G,TH,30/03/2023,2023/07/04 09:15:00+00,10:30,0.8421052631578947,0.0,0.6046511627906976,140578
140615,N01121G,WE,29/03/2023,2023/07/04 15:00:00+00,16:15,0.9981203007518797,0.4,0.8488372093023255,140616
140692,N01121G,SA,01/04/2023,2023/07/04 22:30:00+00,23:45,0.8477443609022557,0.2,0.313953488372093,140693
141076,N01121G,WE,05/04/2023,2023/07/04 12:15:00+00,13:30,0.9605263157894737,0.2,0.8837209302325582,141077
141145,N01121G,WE,05/04/2023,2023/07/04 16:45:00+00,18:00,0.8120300751879699,0.6,0.8837209302325582,141146
141175,N01121G,MO,03/04/2023,2023/07/04 10:00:00+00,11:15,0.9060150375939849,0.4,0.5697674418604651,141176
141188,N01121G,MO,03/04/2023,2023/07/04 13:15:00+00,14:30,0.8872180451127819,0.0,0.9302325581395349,141189
141192,N01121G,MO,03/04/2023,2023/07/04 14:15:00+00,15:30,0.8872180451127819,0.0,0.8023255813953488,141193
141336,N01121G,SA,08/04/2023,2023/07/04 07:30:00+00,08:45,0.806390977443609,0.0,0.47674418604651164,141337
141449,N01121G,SU,09/04/2023,2023/07/04 05:15:00+00,06:30,0.7593984962406015,0.0,0.06976744186046512,141450
141461,N01121G,SU,09/04/2023,2023/07/04 08:15:00+00,09:30,0.9492481203007519,0.8,0.4883720930232558,141462
141546,N01121G,TH,06/04/2023,2023/07/04 15:00:00+00,16:15,0.9398496240601504,0.2,0.7441860465116279,141547
141654,N01121G,TU,11/04/2023,2023/07/04 15:15:00+00,16:30,0.8327067669172933,0.2,0.9418604651162791,141655
141669,N01121G,TU,11/04/2023,2023/07/04 16:00:00+00,17:15,0.6052631578947368,0.4,0.7790697674418605,141670
141681,N01121G,TH,13/04/2023,2023/07/04 16:00:00+00,17:15,0.8552631578947368,0.0,0.6162790697674418,141682
141699,N01121G,WE,12/04/2023,2023/07/04 05:30:00+00,06:45,0.7894736842105263,0.0,0.3953488372093023,141700
141705,N01121G,WE,12/04/2023,2023/07/04 16:15:00+00,17:30,0.8890977443609023,0.6,0.9651162790697675,141706
141837,N01121G,TU,11/04/2023,2023/07/04 04:15:00+00,05:30,0.6954887218045113,0.2,0.4883720930232558,141838
142354,N01121G,SA,15/04/2023,2023/07/04 13:00:00+00,14:15,0.9022556390977443,0.0,0.7906976744186046,142355
142502,N01121G,FR,21/04/2023,2023/07/04 10:00:00+00,11:15,0.943609022556391,0.0,0.9069767441860465,142503
142572,N01121G,FR,21/04/2023,2023/07/04 10:45:00+00,12:00,0.9868421052631579,0.0,1.0,142573
142630,N01121G,FR,21/04/2023,2023/07/04 11:45:00+00,13:00,0.9172932330827067,0.4,0.9302325581395349,142631
142647,N01121G,WE,19/04/2023,2023/07/04 14:45:00+00,16:00,0.8402255639097744,0.6,0.9651162790697675,142648
142705,N01121G,WE,19/04/2023,2023/07/04 16:30:00+00,17:45,0.8533834586466166,0.4,0.9069767441860465,142706
142708,N01121G,WE,19/04/2023,2023/07/04 16:45:00+00,18:00,0.8439849624060151,0.4,0.9186046511627907,142709
142720,N01121G,TH,20/04/2023,2023/07/04 15:30:00+00,16:45,0.8176691729323309,0.0,0.872093023255814,142721
142783,N01121G,TH,20/04/2023,2023/07/04 16:30:00+00,17:45,0.8458646616541353,0.2,0.7325581395348837,142784
142808,N01121G,WE,26/04/2023,2023/07/04 14:15:00+00,15:30,0.8984962406015038,0.0,1.0,142809
142811,N01121G,WE,26/04/2023,2023/07/04 14:30:00+00,15:45,0.9642857142857143,1.0,0.7558139534883721,142812
142864,N01121G,WE,26/04/2023,2023/07/04 16:45:00+00,18:00,0.6522556390977443,0.2,0.8604651162790697,142865
142930,N01121G,TU,25/04/2023,2023/07/04 15:45:00+00,17:00,0.8515037593984962,0.0,0.872093023255814,142931
142934,N01121G,TU,25/04/2023,2023/07/04 16:45:00+00,18:00,0.7518796992481203,0.8,0.7790697674418605,142935
142986,N01121G,MO,24/04/2023,2023/07/04 15:30:00+00,16:45,0.9755639097744361,0.8,0.8837209302325582,142987
142998,N01121G,MO,24/04/2023,2023/07/04 16:30:00+00,17:45,0.8853383458646616,0.4,0.9883720930232558,142999
143074,N01121G,TU,25/04/2023,2023/07/04 10:45:00+00,12:00,0.9924812030075187,0.0,0.6976744186046512,143075
143514,N01121G,FR,28/04/2023,2023/07/04 10:30:00+00,11:45,0.7443609022556391,0.2,0.7674418604651163,143515
143790,N01121G,TH,04/05/2023,2023/07/04 12:00:00+00,13:15,0.7781954887218046,0.4,0.7906976744186046,143791
143797,N01121G,WE,03/05/2023,2023/07/04 10:45:00+00,12:00,0.9642857142857143,1.0,0.8837209302325582,143798
143856,N01121G,WE,03/05/2023,2023/07/04 11:45:00+00,13:00,0.9906015037593985,0.8,0.9418604651162791,143857
143859,N01121G,TH,04/05/2023,2023/07/04 13:45:00+00,15:00,0.9736842105263158,0.4,0.8488372093023255,143860
143865,N01121G,TU,02/05/2023,2023/07/04 11:45:00+00,13:00,0.9154135338345865,0.0,0.8488372093023255,143866
143889,N01121G,WE,03/05/2023,2023/07/04 15:30:00+00,16:45,0.8214285714285714,0.0,0.872093023255814,143890
143890,N01121G,WE,03/05/2023,2023/07/04 15:45:00+00,17:00,0.7180451127819549,0.0,0.7906976744186046,143891
143978,N01121G,TU,02/05/2023,2023/07/04 14:45:00+00,16:00,0.8120300751879699,0.4,0.813953488372093,143979
143983,N01121G,TU,02/05/2023,2023/07/04 16:00:00+00,17:15,0.8101503759398496,0.2,0.8488372093023255,143984
143985,N01121G,TU,02/05/2023,2023/07/04 16:30:00+00,17:45,0.9041353383458647,0.2,0.7906976744186046,143986
